"","AQ1","Erosion_Sym","Ag_Acres"
"1","Crops - Dryland","AlB",0.012636251389874
"2","Crops - Dryland","AlD",0.884353102425948
"3","Crops - Dryland","AnF",7.10238537268776
"4","Crops - Dryland","AsC",761.147611611839
"5","Crops - Dryland","AsD",901.209146723515
"6","Crops - Dryland","AsE",501.551976984425
"7","Crops - Dryland","AsE3",383.005770408792
"8","Crops - Dryland","AsF",105.139167340626
"9","Crops - Dryland","AtB",6169.15618511062
"10","Crops - Dryland","AtD",45727.7980759335
"11","Crops - Dryland","AtD3",1059.10324798237
"12","Crops - Dryland","AtE",14910.634054701
"13","Crops - Dryland","AtE3",3304.03626124347
"14","Crops - Dryland","AtF",1141.0587399612
"15","Crops - Dryland","AtF3",464.452029278627
"16","Crops - Dryland","AuC",477.038265657331
"17","Crops - Dryland","AuD2",377.826055604599
"18","Crops - Dryland","AuE2",384.469961798497
"19","Crops - Dryland","BcF",0.199713774870008
"20","Crops - Dryland","CdD",1.09062193573341
"21","Crops - Dryland","ChB",95.0529947207216
"22","Crops - Dryland","ChC",1106.46335865753
"23","Crops - Dryland","ChD",1501.27735587426
"24","Crops - Dryland","ChE",478.284746654332
"25","Crops - Dryland","CoC",173.65858124289
"26","Crops - Dryland","CoC2",2625.39614077602
"27","Crops - Dryland","CoD",18.481394456434
"28","Crops - Dryland","CoD3",310.140477001524
"29","Crops - Dryland","CvA",1287.19740425013
"30","Crops - Dryland","CwA",317.53300880149
"31","Crops - Dryland","EyA",1.45779088411332
"32","Crops - Dryland","EyA2",161.840788835802
"33","Crops - Dryland","EzA",64.1398978796753
"34","Crops - Dryland","FaC2",64.8629660629814
"35","Crops - Dryland","FaD2",390.311107513801
"36","Crops - Dryland","FaE",160.494946700731
"37","Crops - Dryland","FeB",36.5634029147138
"38","Crops - Dryland","FeC",494.682184822418
"39","Crops - Dryland","FeD",1292.47197905375
"40","Crops - Dryland","FeE",479.424026508828
"41","Crops - Dryland","GnF",0.00517337959126788
"42","Crops - Dryland","GwF",703.01058880898
"43","Crops - Dryland","HmA",1430.80283449343
"44","Crops - Dryland","Hr",0.350457474033223
"45","Crops - Dryland","KlF",4.94434245998618
"46","Crops - Dryland","KuD",71.1470935291065
"47","Crops - Dryland","KvF",613.047703980067
"48","Crops - Dryland","LaF",139.18774361171
"49","Crops - Dryland","LcF",0.217761895338821
"50","Crops - Dryland","LkD",160.424438773339
"51","Crops - Dryland","LkE",5.44390311150667
"52","Crops - Dryland","LrD3",235.356663473494
"53","Crops - Dryland","LvF",185.733111855552
"54","Crops - Dryland","MgD",34.0683836450655
"55","Crops - Dryland","MoA",934.745999532927
"56","Crops - Dryland","MsC",15.0135839363503
"57","Crops - Dryland","MvD",1.0732927666245
"58","Crops - Dryland","OlB",0.6625678274248
"59","Crops - Dryland","OlC",1250.25453919858
"60","Crops - Dryland","OlD",762.8494113055
"61","Crops - Dryland","OlE",280.05897306072
"62","Crops - Dryland","OnA",1167.94684523861
"63","Crops - Dryland","OnD",0.00299163066291557
"64","Crops - Dryland","OsC",0.195290707401505
"65","Crops - Dryland","Ox",0.0014073951441482
"66","Crops - Dryland","PaB",2582.46194600709
"67","Crops - Dryland","PaD",9042.26729270869
"68","Crops - Dryland","PaD3",363.060835806906
"69","Crops - Dryland","PaE",2196.12412338621
"70","Crops - Dryland","PaE3",1637.33223442871
"71","Crops - Dryland","PaF",336.608143975808
"72","Crops - Dryland","PeC",2050.37098270629
"73","Crops - Dryland","PeD2",606.810075483194
"74","Crops - Dryland","PeE2",470.317772587974
"75","Crops - Dryland","Pits",8.47396223341839
"76","Crops - Dryland","PkA",182.150559995534
"77","Crops - Dryland","PlA",170.14614646358
"78","Crops - Dryland","PlB",1.3025993379808
"79","Crops - Dryland","PoA",35.6249522630275
"80","Crops - Dryland","RcE",1127.99233613628
"81","Crops - Dryland","ReB",262.19966302035
"82","Crops - Dryland","ReD",6372.67743789672
"83","Crops - Dryland","ReE",705.095983960688
"84","Crops - Dryland","ReF",140.685819101604
"85","Crops - Dryland","RlD",0.0014499731247499
"86","Crops - Dryland","Rn",37.0540253771404
"87","Crops - Dryland","Ro",39.6985075562676
"88","Crops - Dryland","RrE",44.9592974329435
"89","Crops - Dryland","RsD",455.705529308774
"90","Crops - Dryland","RsE",405.624260794446
"91","Crops - Dryland","RsF",4.84906537773289
"92","Crops - Dryland","RuD",376.578801244457
"93","Crops - Dryland","RuF",512.599192597866
"94","Crops - Dryland","Rw",0.123914026839906
"95","Crops - Dryland","SpC",227.025561745157
"96","Crops - Dryland","Tc",9.20366809826028
"97","Crops - Dryland","ToC",49.5527609651557
"98","Crops - Dryland","ToE",2.68479309732933
"99","Crops - Dryland","ToF",2.98025408223371
"100","Crops - Dryland","TsC",100.578318164375
"101","Crops - Dryland","TuC",224.117554507556
"102","Crops - Dryland","TuD",896.429012881228
"103","Crops - Dryland","TuE",741.39773071938
"104","Crops - Dryland","TuE3",1047.08193377777
"105","Crops - Dryland","TuF",44.3907130013269
"106","Crops - Dryland","W",0.995219293011026
"107","Crops - Dryland","WaB",0.141446649714054
"108","Crops - Dryland","WaC",0.118540977116994
